COD_COMARCA,CANDIDATO_COD,VOTOS,AÑO_ID
1,1,3,1
1,3,2,1
1,10,1286,1
1,12,0,1
1,13,3,1
1,15,39,1
1,24,1,1
1,25,1,1
1,26,19,1
1,27,0,1
1,29,3,1
1,35,2,1
1,36,0,1
1,37,0,1
1,38,2,1
1,39,197,1
1,44,0,1
1,45,0,1
1,51,0,1
1,53,193,1
1,55,5,1
1,56,0,1
1,57,218,1
1,58,17,1
1,60,135,1
1,61,1,1
1,62,4,1
1,63,3,1
1,64,6,1
1,65,582,1
1,66,2,1
1,67,0,1
2,1,6,1
2,3,0,1
2,10,1472,1
2,12,2,1
2,13,0,1
2,15,43,1
2,24,2,1
2,25,1,1
2,26,17,1
2,27,0,1
2,29,8,1
2,35,0,1
2,36,0,1
2,37,1,1
2,38,1,1
2,39,356,1
2,44,1,1
2,45,0,1
2,51,1,1
2,53,230,1
2,55,2,1
2,56,0,1
2,57,302,1
2,58,16,1
2,60,227,1
2,61,1,1
2,62,3,1
2,63,3,1
2,64,6,1
2,65,1408,1
2,66,3,1
2,67,0,1
3,1,67,1
3,3,46,1
3,10,12937,1
3,12,30,1
3,13,49,1
3,15,938,1
3,24,8,1
3,25,16,1
3,26,496,1
3,27,3,1
3,29,14,1
3,35,11,1
3,36,15,1
3,37,5,1
3,38,48,1
3,39,2353,1
3,44,5,1
3,45,6,1
3,51,22,1
3,53,3093,1
3,55,21,1
3,56,5,1
3,57,3817,1
3,58,601,1
3,60,2610,1
3,61,5,1
3,62,20,1
3,63,47,1
3,64,106,1
3,65,9026,1
3,66,60,1
3,67,12,1
4,1,8,1
4,3,4,1
4,10,3492,1
4,12,0,1
4,13,4,1
4,15,71,1
4,24,2,1
4,25,2,1
4,26,91,1
4,27,0,1
4,29,1,1
4,35,3,1
4,36,2,1
4,37,0,1
4,38,3,1
4,39,686,1
4,44,0,1
4,45,0,1
4,51,13,1
4,53,708,1
4,55,4,1
4,56,4,1
4,57,726,1
4,58,28,1
4,60,521,1
4,61,1,1
4,62,7,1
4,63,12,1
4,64,24,1
