COD_COMARCA,COMARCA,CENSO,VOTANTES,AÑO_ID
1,Els Ports,3643,2807,2
2,L'Alt Maestrat,5487,4271,2
3,El Baix Maestrat,56320,37481,2
4,L'Alcalatén,12480,9321,2
5,La Plana Alta,177804,111203,2
6,La Plana Baixa,140989,95363,2
7,El Alto Palancia,19044,15212,2
8,El Alto Mijares,3377,2822,2
9,El Rincón de Ademuz,1848,1526,2
10,Los Serranos,13463,10574,2
11,El Camp de Túria,121685,79639,2
12,El Camp de Morvedre,69185,43565,2
13,L'Horta Nord,172113,113658,2
14,L'Horta Oest,263629,162358,2
15,Valencia,583118,386420,2
16,L'Horta Sud,133922,86142,2
17,La Plana de Utiel-Requena,29596,19610,2
18,La Hoya de Buñol,32784,22566,2
19,El Valle de Cofrentes-Ayora,8165,6595,2
20,La Ribera Alta,167274,113498,2
21,La Ribera Baixa,61398,42673,2
22,La Canal de Navarrés,12534,10230,2
23,La Costera,55311,39732,2
24,La Vall d'Albaida,67580,50811,2
25,La Safor,123535,86595,2
26,El Comtat,21618,15737,2
27,L'Alcoià,85250,56523,2
28,El Alto Vinalopó,40580,27551,2
29,El Vinalopó Medio,130118,82835,2
30,La Marina Alta,114182,66822,2
31,La Marina Baixa,119136,67506,2
32,L'Alacantí,351195,198459,2
33,El Baix Vinalopó,213814,128174,2
34,La Vega Baja,206856,128131,2
