CANDIDATO_COD,COD_COMARCA,VOTOS
18,14,67
18,15,403
18,16,33
18,17,1
18,18,5
18,19,1
18,20,54
18,21,11
18,22,5
18,23,27
18,24,9
18,25,34
18,26,10
18,27,23
18,28,17
18,29,48
18,30,73
18,31,22
18,32,164
18,33,92
18,34,163
19,1,1
19,2,3
19,3,18
19,4,2
19,5,41
19,6,54
19,7,8
19,8,2
19,9,0
19,10,4
19,11,16
19,12,12
19,13,35
19,14,44
19,15,80
19,16,31
19,17,5
19,18,1
19,19,2
19,20,34
19,21,17
19,22,1
19,23,14
19,24,20
19,25,25
19,26,2
19,27,28
19,28,17
19,29,30
19,30,25
19,31,17
19,32,106
19,33,39
19,34,54
20,1,2
20,2,4
20,3,29
20,4,5
20,5,103
20,6,50
20,7,16
20,8,3
20,9,2
20,10,9
20,11,56
20,12,47
20,13,147
20,14,147
20,15,536
20,16,65
20,17,10
20,18,25
20,19,3
20,20,56
20,21,24
20,22,4
20,23,18
20,24,38
20,25,45
20,26,12
20,27,59
20,28,25
20,29,87
20,30,48
20,31,53
20,32,189
20,33,100
20,34,74
22,1,2
22,2,0
22,3,5
22,4,0
22,5,11
22,6,9
22,7,2
22,8,1
22,9,1
22,10,0
22,11,4
22,12,0
22,13,21
22,14,20
22,15,58
22,16,9
22,17,2
22,18,1
22,19,1
22,20,10
22,21,5
22,22,0
22,23,0
22,24,7
22,25,7
22,26,1
22,27,5
22,28,3
22,29,2
22,30,8
22,31,6
22,32,26
22,33,9
22,34,21
23,1,2
23,2,1
23,3,18
23,4,8
23,5,70
23,6,48
23,7,8
23,8,2
23,9,2
23,10,3
23,11,33
23,12,15
23,13,76
23,14,74
23,15,219
23,16,48
23,17,13
23,18,7
23,19,1
23,20,33
23,21,8
23,22,5
23,23,24
23,24,12
23,25,44
23,26,8
23,27,62
23,28,11
23,29,50
23,30,54
23,31,40
23,32,123
23,33,103
23,34,77
24,1,2
24,2,1
24,3,30
24,4,8
24,5,146
24,6,74
24,7,13
24,8,2
24,9,1
24,10,3
24,11,64
24,12,23
24,13,77
24,14,119
24,15,577
24,16,64
24,17,17
24,18,27
24,19,2
24,20,104
24,21,29
24,22,9
24,23,32
24,24,38
24,25,71
24,26,33
24,27,64
24,28,24
24,29,60
24,30,93
24,31,70
24,32,222
24,33,104
24,34,93
26,1,0
26,2,2
26,3,15
26,4,3
26,5,199
26,6,54
26,7,2
26,8,1
26,9,0
26,10,0
26,11,12
26,12,9
26,13,43
26,14,51
26,15,84
26,16,31
26,17,11
26,18,8
26,19,1
26,20,39
26,21,8
26,22,0
26,23,7
26,24,7
26,25,21
26,26,6
26,27,12
26,28,2
26,29,22
26,30,18
26,31,9
26,32,55
26,33,26
26,34,33
27,1,5
27,2,4
27,3,166
27,4,122
27,5,178
27,6,135
27,7,15
27,8,2
27,9,3
27,10,11
27,11,242
27,12,230
27,13,182
27,14,514
27,15,852
27,16,136
27,17,15
27,18,34
27,19,12
27,20,198
27,21,74
27,22,16
27,23,44
27,24,75
27,25,169
27,26,25
27,27,112
27,28,42
27,29,149
27,30,114
27,31,117
27,32,540
27,33,251
27,34,149
28,1,1166
28,2,1287
28,3,11175
28,4,2769
28,5,33438
28,6,29126
28,7,5654
28,8,851
28,9,604
28,10,3582
28,11,19844
28,12,13854
28,13,35220
28,14,52272
28,15,111484
28,16,25523
28,17,7114
28,18,7723
28,19,2174
28,20,34953
28,21,13530
28,22,3960
28,23,12878
28,24,15718
28,25,24355
28,26,5374
28,27,19360
28,28,8901
28,29,25893
28,30,19236
28,31,19681
28,32,61456
28,33,38719
28,34,33370
29,1,0
29,2,0
29,3,145
29,4,1
29,5,190
29,6,22
29,7,1
29,8,2
29,9,0
29,10,2
29,11,9
29,12,10
29,13,206
29,14,107
29,15,53
29,16,18
29,17,1
29,18,5
29,19,3
29,20,17
29,21,140
29,22,0
29,23,6
29,24,9
29,25,6
29,26,0
29,27,8
29,28,4
29,29,14
29,30,7
29,31,140
29,32,46
29,33,36
29,34,10
30,1,1
30,2,0
30,3,4
30,4,1
30,5,15
30,6,7
30,7,1
30,8,2
30,9,0
30,10,0
30,11,6
30,12,3
30,13,10
30,14,18
30,15,11
30,16,5
30,17,3
30,18,0
30,19,0
30,20,9
30,21,9
30,22,0
30,23,5
30,24,2
30,25,9
30,26,2
30,27,6
30,28,1
30,29,8
30,30,9
30,31,12
30,32,17
30,33,28
30,34,13
32,1,2
32,2,4
32,3,28
32,4,4
32,5,58
32,6,65
32,7,2
32,8,3
32,9,0
32,10,3
32,11,33
32,12,11
32,13,47
32,14,69
32,15,242
32,16,32
32,17,3
32,18,5
32,19,1
32,20,30
32,21,19
32,22,9
32,23,24
32,24,21
32,25,23
32,26,8
32,27,25
32,28,16
32,29,22
32,30,17
32,31,20
32,32,85
32,33,44
32,34,43
34,1,0
34,2,2
34,3,10
34,4,2
34,5,28
34,6,12
34,7,5
34,8,0
34,9,0
34,10,4
34,11,17
34,12,7
34,13,28
34,14,63
34,15,193
34,16,32
34,17,6
34,18,18
34,19,1
34,20,31
34,21,7
34,22,1
34,23,4
34,24,8
34,25,9
34,26,11
34,27,75
34,28,6
34,29,12
34,30,17
34,31,6
34,32,32
34,33,38
34,34,24
35,1,1
35,2,3
35,3,21
35,4,7
35,5,61
35,6,230
35,7,3
35,8,2
35,9,3
35,10,5
35,11,28
35,12,15
35,13,56
35,14,74
35,15,430
35,16,29
35,17,5
35,18,9
35,19,6
35,20,256
35,21,16
35,22,0
35,23,15
35,24,11
35,25,122
35,26,6
35,27,35
35,28,11
35,29,51
35,30,50
35,31,31
35,32,89
35,33,74
35,34,60
